dataset,setting,model,retrieval,baseline,kind,mode,coefficients_csv,coefficients_plot
Electricity,168_24,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_1_online_all/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_1_online_all/full_ridge_shared.png
Electricity,168_24,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.png
Electricity,168_24,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,168_24,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_3_online_all/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_3_online_all/full_ridge_shared.png
Electricity,168_24,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_all/full_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_all/full_ridge_shared.png
Electricity,336_48,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_1_online_all/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_1_online_all/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_1_online_same_user/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_3_online_all/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_3_online_all/full_ridge_shared.png
Electricity,336_48,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/336_48/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/336_48/raw_euclidean_3_online_same_user/full_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_all/full_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_all/full_ridge_shared.png
Electricity,504_168,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/504_168/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/504_168/instance_euclidean_3_online_same_user/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_1_online_other_users/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_1_online_all/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_1_online_all/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_1_online_same_user/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_3_online_other_users/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_3_online_all/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_3_online_all/full_ridge_shared.png
Electricity,504_168,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Electricity/504_168/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Electricity/504_168/raw_euclidean_3_online_same_user/full_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_all/full_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_all/full_ridge_shared.png
Solar,168_24,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Solar/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_1_online_all/full_ridge_shared.csv,Solar/168_24/raw_euclidean_1_online_all/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Solar/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_3_online_all/full_ridge_shared.csv,Solar/168_24/raw_euclidean_3_online_all/full_ridge_shared.png
Solar,168_24,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_all/full_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_all/full_ridge_shared.png
Solar,336_48,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Solar/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_1_online_all/full_ridge_shared.csv,Solar/336_48/raw_euclidean_1_online_all/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Solar/336_48/raw_euclidean_1_online_same_user/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/336_48/raw_euclidean_3_online_other_users/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_3_online_all/full_ridge_shared.csv,Solar/336_48/raw_euclidean_3_online_all/full_ridge_shared.png
Solar,336_48,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/336_48/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/336_48/raw_euclidean_3_online_same_user/full_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_other_users/full_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_all/full_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_all/full_ridge_shared.png
Solar,504_168,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/504_168/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/504_168/instance_euclidean_3_online_same_user/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Solar/504_168/raw_euclidean_1_online_other_users/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_1_online_all/full_ridge_shared.csv,Solar/504_168/raw_euclidean_1_online_all/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Solar/504_168/raw_euclidean_1_online_same_user/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Solar/504_168/raw_euclidean_3_online_other_users/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_3_online_all/full_ridge_shared.csv,Solar/504_168/raw_euclidean_3_online_all/full_ridge_shared.png
Solar,504_168,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Solar/504_168/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Solar/504_168/raw_euclidean_3_online_same_user/full_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_other_users/full_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_all/full_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_all/full_ridge_shared.png
Traffic,168_24,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Traffic/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Traffic/168_24/instance_euclidean_3_online_same_user/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_1_online_other_users/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_1_online_all,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_1_online_all/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_1_online_all/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_1_online_same_user,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_1_online_same_user/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_3_online_other_users/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_3_online_all,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_3_online_all/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_3_online_all/full_ridge_shared.png
Traffic,168_24,chronos2,raw_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Traffic/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.csv,Traffic/168_24/raw_euclidean_3_online_same_user/full_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_other_users,cov_avgy_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_other_users/cov_avgy_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_all,cov_avgy_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_all/cov_avgy_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_same_user,cov_avgy_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_same_user/cov_avgy_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_other_users,cov_y_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_other_users/cov_y_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_all,cov_y_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_all/cov_y_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_same_user,cov_y_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_same_user/cov_y_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_other_users,full_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_other_users/full_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_all,full_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_all/full_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_all/full_ridge_shared.png
Traffic,336_48,chronos2,instance_euclidean_3_online_same_user,full_ridge_shared,ridge,shared,Traffic/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.csv,Traffic/336_48/instance_euclidean_3_online_same_user/full_ridge_shared.png
Traffic,336_48,chronos2,raw_euclidean_1_online_other_users,full_ridge_shared,ridge,shared,Traffic/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.csv,Traffic/336_48/raw_euclidean_1_online_other_users/full_ridge_shared.png
